"(6, 1, 14, 0.0)","{0: 0.17099999999999999, 1: 0.46855900000000006}"
"(5, 1, 14, 0.0)","{0: 0.40951000000000004, 1: 0.271}"
"(5, 1, 13, -8.0)","{1: 0.6113463080053511, 0: 0.37667940391000004}"
"(4, 1, 13, -8.0)","{1: 0.25348869, 0: 0.271}"
"(4, 1, 12, -6.0)","{0: 0.1, 1: 0.17099999999999999}"
"(4, 1, 12, 0.0)","{0: 0.22851000000000002, 1: 0.271}"
"(4, 1, 11, 0.0)","{1: 0.19, 0: 0.1}"
"(4, 1, 11, 1.0)","{1: 0.19, 0: 0.1}"
"(4, 1, 11, 2.0)","{0: 0.1, 1: 0.19}"
"(3, 1, 10, -8.0)","{1: 0.53118307545039, 0: 0.27855900000000006}"
"(3, 1, 10, -7.0)","{1: 0.0729, 0: 0.271}"
"(3, 1, 10, -6.0)","{0: 0.271, 1: 0.09}"
"(2, 1, 9, 0.0)","{1: 0.40951000000000004, 0: 0.1729}"
"(2, 1, 9, 1.0)","{1: 0.34390000000000004, 0: 0.181}"
"(2, 1, 9, 2.0)","{1: 0.19, 0: 0.09}"
"(2, 1, 9, 3.0)","{1: 0.1, 0: 0.0}"
"(3, 1, 9, 4.0)","{1: 0.1, 0: 0.1}"
"(3, 1, 8, 5.0)",{1: 0.1}
"(3, 1, 8, 6.0)",{0: 0.1}
"(3, 1, 8, -8.0)","{1: 0.15389999999999998, 0: 0.19}"
"(2, 1, 8, -8.0)","{0: 0.269090821, 1: 0.1}"
"(2, 1, 7, -8.0)","{1: 0.21951, 0: 0.32563279000000006}"
"(1, 1, 7, -8.0)","{0: 0.5888070128892213, 1: 0.11219309999999999}"
"(1, 1, 6, 0.0)","{1: 0.17099999999999999, 0: 0.40951000000000004}"
"(1, 1, 6, 1.0)","{1: 0.09, 0: 0.19}"
"(1, 1, 6, 2.0)",{0: 0.19}
"(1, 1, 6, -8.0)","{0: 0.16561000000000003, 1: 0.67123207545039}"
"(1, 1, 5, -8.0)","{1: 0.34390000000000004, 0: 0.19}"
"(0, 1, 5, -7.0)","{1: 0.1, 0: 0.271}"
"(0, 1, 5, -6.0)",{1: 0.19}
"(0, 1, 5, -5.0)","{1: 0.1, 0: 0.1}"
"(0, 1, 4, -4.0)",{1: 0.1}
"(0, 1, 4, -3.0)",{0: 0.1}
"(0, 1, 4, -8.0)","{1: -0.0033672100000000094, 0: -0.5976656600000001}"
